name,year,director,address,lat,lon,borough,nbhd,imdb,type
Spider-Man,2002,Sam Raimi,Midtown<br>Manhattan,40.7525888,-73.97975564,Manhattan,Midtown,http://www.imdb.com/title/tt0145487/,Films
Spider-Man,2002,Sam Raimi,Midtown<br>Manhattan,40.75668492,-73.97855401,Manhattan,Midtown,http://www.imdb.com/title/tt0145487/,Films
Splash,1984,Ron Howard,Pier 17<br>Manhattan,40.70468448,-74.00207162,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0088161/,Films
State of Grace,1990,Phil Joanou,Hell's Kitchen<br>Manhattan,40.76037446,-73.99125695,Manhattan,Upper West Side,http://imdb.com/title/tt0100685/,Films
Sugar Hill,1994,Leon Ichaso,Edgecomb Ave.<br>Harlem<br>Manhattan,40.82943024,-73.93964052,Manhattan,Harlem,http://www.imdb.com/title/tt0107079/,Films
Summer of Sam,1999,Spike Lee,"CBGB's <br>315 Bowery (at Bleecker)<br>East Village, Manhattan",40.725034,-73.992067,Manhattan,SoHo,http://www.imdb.com/title/tt0162677/,Films
Sweet Home Alabama,2002,Andy Tennant,Tiffany & Co.<br>727 Fifth Ave.<br>Manhattan,40.76279612,-73.97387624,Manhattan,Midtown,http://www.imdb.com/title/tt0256415/,Films
Sweet Smell of Success,1957,Alexandre Mackenrick,Manhattan ,40.75779831,-73.97556603,Manhattan,Midtown,http://imdb.com/title/tt0051036/,Films
Taxi Driver,1976,Martin Scorsese,E. 12th St. and Third Ave.<br>East Village<br>Manhattan,40.732,-73.9882,Manhattan,East Village,http://www.imdb.com/title/tt0075314/,Films
Taxi Driver,1976,Martin Scorsese,Bellmore Cafeteria<br>Park Ave. South and E. 28th St.<br>Manhattan,40.74335,-73.98405,Manhattan,Midtown,http://www.imdb.com/title/tt0075314/,Films
Taxi Driver,1976,Martin Scorsese,Columbus Ave. and E. 86th St.<br>Upper West Side<br>Manhattan,40.7865,-73.9722,Manhattan,Upper West Side,http://www.imdb.com/title/tt0075314/,Films
The Anderson Tapes,1971,Sidney Lumet,E. 91st St. and Fifth Ave.<br>Upper East Side<br>Manhattan,40.7847,-73.9581,Manhattan,Upper East Side,http://www.imdb.com/title/tt0066767/,Films
The April Fools,1969,Stuart Rosenberg,Marine Midlane Bank<br>140 Broadway<br>Lower Manhattan,40.708972,-74.010518,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0064036/,Films
The April Fools,1969,Stuart Rosenberg,Central Park<br>Manhattan,40.77326188,-73.9711082,Manhattan,Central Park,http://www.imdb.com/title/tt0064036/,Films
The Bonfire of the Vanities,1990,Brian De Palma,E. 74th St. and Park Ave.<br>Upper East Side<br>Manhattan,40.77245,-73.9629,Manhattan,Upper East Side,http://www.imdb.com/title/tt0099165/,Films
The Brother from Another Planet,1984,John Sayles,Ellis Island<br>New York Harbor,40.69736408,-74.04119968,Manhattan,New York Harbor,http://www.imdb.com/title/tt0087004/,Films
The Brothers McMullen,1995,Edward Burns,W. 46th St. and Eighth Ave.<br>Midtown<br>Manhattan,40.7598,-73.9879,Manhattan,Midtown,http://www.imdb.com/title/tt0112585/,Films
The Cotton Club,1984,Francis Ford Coppola,E. 6th St. between First Ave. & Ave. A<br>East Village<br>Manhattan,40.72597413,-73.9851898,Manhattan,East Village,http://imdb.com/title/tt0087089/,Films
The Cowboy Way,1994,Gregg Champion,Manhattan Bridge,40.70940164,-73.99183095,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0109493/,Films
The Devil's Advocate,1997,Taylor Hackford,Chinatown<br>Manhattan,40.71500487,-73.99886906,Manhattan,Chinatown,http://www.imdb.com/title/tt0118971/,Films
The Fisher King,1991,Terry Gilliam,Grand Central Station<br>87 E. 42nd St.<br>Manhattan,40.75270258,-73.97726655,Manhattan,Midtown,http://www.imdb.com/title/tt0101889/,Films
